pID,sdcard,streamed,xdf
EML1_001,0,0,0
EML1_002,0,0,0
EML1_003,0,0,0
EML1_004,0,0,0
EML1_005,0,0,0
EML1_006,0,0,0
EML1_007,0,0,0
EML1_008,0,0,0
EML1_009,0,0,0
EML1_010,0,0,0
EML1_011,0,0,0
EML1_012,0,0,0
EML1_013,0,0,0
EML1_014,0,0,0
EML1_015,0,0,0
EML1_016,0,0,0
EML1_017,0,0,0
EML1_018,0,0,0
EML1_019,0,0,1
EML1_020,0,0,1
EML1_021,0,0,1
EML1_022,0,0,0
EML1_023,0,0,0
EML1_024,0,0,0
EML1_025,0,0,1
EML1_026,0,0,0
EML1_027,0,0,0
EML1_028,0,0,1
EML1_029,0,0,1
EML1_030,0,0,1
EML1_031,0,0,0
EML1_032,0,0,1
EML1_033,0,0,1
EML1_034,0,0,1
EML1_035,0,0,1
EML1_036,0,0,1
EML1_037,0,0,1
EML1_038,0,0,1
EML1_039,0,0,0
EML1_040,0,0,0
EML1_041,0,0,1
EML1_042,0,0,1
EML1_043,0,0,1
EML1_044,0,0,1
EML1_045,0,0,1
EML1_046,0,0,1
EML1_047,1,1,1
EML1_048,1,1,1
EML1_049,1,0,1
EML1_050,1,1,1
EML1_051,1,1,1
EML1_052,1,0,1
EML1_053,1,1,1
EML1_054,1,1,1
EML1_055,1,1,1
EML1_056,1,1,1
EML1_057,1,1,1
EML1_058,1,1,1
EML1_059,1,1,1
EML1_060,1,1,1
EML1_061,1,1,1
EML1_062,1,1,1
EML1_063,1,1,1
EML1_064,1,1,1
EML1_065,1,1,1
EML1_066,1,1,1
EML1_067,1,1,1
EML1_068,1,1,1
EML1_069,1,1,1
EML1_070,1,1,1
EML1_071,1,1,1
EML1_072,1,1,1
EML1_073,1,1,1
EML1_074,1,1,1
EML1_075,1,1,1
EML1_076,1,1,1
EML1_077,0,0,0
EML1_078,0,0,1
EML1_079,1,1,1
EML1_080,1,1,1
EML1_081,1,1,1
EML1_082,1,1,1
EML1_083,1,1,1
EML1_084,1,1,1
EML1_085,1,1,1
EML1_086,1,1,1
EML1_087,0,1,1
EML1_088,0,0,0
EML1_089,0,0,1
EML1_090,1,1,1
EML1_091,0,1,1
EML1_092,0,0,0
EML1_093,1,1,1
EML1_094,1,1,1
EML1_095,1,1,1
EML1_096,1,1,1
EML1_097,1,1,1
EML1_098,1,1,1
EML1_099,1,1,1
EML1_100,1,1,1
EML1_101,1,1,1
EML1_102,0,0,1
EML1_103,1,1,1
EML1_104,1,1,1
EML1_105,1,1,1
EML1_106,1,1,1
EML1_107,1,1,1
EML1_108,1,1,1
EML1_109,1,1,1
